job_role,required_skills,job_description,job_full_text
artificial intelligence architect,"AI/ML Frameworks, System Architecture, Cloud Computing, Data Modeling",designs and implements ai systems architecture ensuring scalability and efficiency.,"role: artificial intelligence architect [SEP] description: designs and implements ai systems architecture ensuring scalability and efficiency. [SEP] skills: AI/ML Frameworks, System Architecture, Cloud Computing, Data Modeling"
artificial intelligence researcher,"Research Methodologies, AI/ML Algorithms, Python, Data Analysis",conducts research to advance ai technologies develops new algorithms and publishes findings.,"role: artificial intelligence researcher [SEP] description: conducts research to advance ai technologies develops new algorithms and publishes findings. [SEP] skills: Research Methodologies, AI/ML Algorithms, Python, Data Analysis"
aws devops engineer,"AWS Services, DevOps Practices, CI/CD Pipelines, Automation",implements devops practices on aws automating processes and ensuring system reliability.,"role: aws devops engineer [SEP] description: implements devops practices on aws automating processes and ensuring system reliability. [SEP] skills: AWS Services, DevOps Practices, CI/CD Pipelines, Automation"
aws solutions architect,"AWS Services, Cloud Architecture, Solution Design, Cost Optimization",designs scalable and cost-effective solutions on aws ensuring alignment with business needs.,"role: aws solutions architect [SEP] description: designs scalable and cost-effective solutions on aws ensuring alignment with business needs. [SEP] skills: AWS Services, Cloud Architecture, Solution Design, Cost Optimization"
azure devops engineer,"Azure Services, DevOps Practices, CI/CD Pipelines, Automation",implements devops practices on azure automating processes and ensuring system reliability.,"role: azure devops engineer [SEP] description: implements devops practices on azure automating processes and ensuring system reliability. [SEP] skills: Azure Services, DevOps Practices, CI/CD Pipelines, Automation"
bamboo engineer,"Bamboo, CI/CD Pipelines, Build Automation, Software Configuration Management",configures and manages bamboo for continuous integration and delivery.,"role: bamboo engineer [SEP] description: configures and manages bamboo for continuous integration and delivery. [SEP] skills: Bamboo, CI/CD Pipelines, Build Automation, Software Configuration Management"
big data architect,"Big Data Technologies, Hadoop, Spark, Data Warehousing, System Design",designs and oversees big data solutions ensuring scalability and performance.,"role: big data architect [SEP] description: designs and oversees big data solutions ensuring scalability and performance. [SEP] skills: Big Data Technologies, Hadoop, Spark, Data Warehousing, System Design"
big data engineer,"Hadoop, Spark, ETL Processes, Data Processing, Database Management",develops and maintains big data infrastructure ensuring data quality and accessibility.,"role: big data engineer [SEP] description: develops and maintains big data infrastructure ensuring data quality and accessibility. [SEP] skills: Hadoop, Spark, ETL Processes, Data Processing, Database Management"
big data specialist,"Big Data Technologies, Data Analysis, SQL, Data Mining",analyzes and interprets large datasets to provide insights and support decision-making.,"role: big data specialist [SEP] description: analyzes and interprets large datasets to provide insights and support decision-making. [SEP] skills: Big Data Technologies, Data Analysis, SQL, Data Mining"
bitbucket engineer,"Bitbucket, Git, Version Control, CI/CD Integration",manages and configures bitbucket for efficient version control and collaboration.,"role: bitbucket engineer [SEP] description: manages and configures bitbucket for efficient version control and collaboration. [SEP] skills: Bitbucket, Git, Version Control, CI/CD Integration"
blockchain developer,"Blockchain Technologies, Solidity, Cryptography, Smart Contracts",develops blockchain applications and smart contracts ensuring security and functionality.,"role: blockchain developer [SEP] description: develops blockchain applications and smart contracts ensuring security and functionality. [SEP] skills: Blockchain Technologies, Solidity, Cryptography, Smart Contracts"
build and release engineer,"CI/CD Pipelines, Build Systems, Automation, Configuration Management",manages build and release processes ensuring smooth and reliable software deployments.,"role: build and release engineer [SEP] description: manages build and release processes ensuring smooth and reliable software deployments. [SEP] skills: CI/CD Pipelines, Build Systems, Automation, Configuration Management"
build engineer,"Build Systems, Scripting, Automation, Software Configuration Management",develops and maintains build systems automating software compilation and testing.,"role: build engineer [SEP] description: develops and maintains build systems automating software compilation and testing. [SEP] skills: Build Systems, Scripting, Automation, Software Configuration Management"
business systems analyst,"Requirements Gathering, Process Analysis, System Design, Documentation",analyzes business processes and system requirements providing solutions to improve efficiency.,"role: business systems analyst [SEP] description: analyzes business processes and system requirements providing solutions to improve efficiency. [SEP] skills: Requirements Gathering, Process Analysis, System Design, Documentation"
c# developer,"C#, .NET Framework, ASP.NET, Software Development, Object-Oriented Programming",develops applications using c# and the .net framework focusing on functionality and performance.,"role: c# developer [SEP] description: develops applications using c# and the .net framework focusing on functionality and performance. [SEP] skills: C#, .NET Framework, ASP.NET, Software Development, Object-Oriented Programming"
chef inspec engineer,"Chef Inspec, Compliance Automation, Infrastructure Testing, Ruby",automates compliance and infrastructure testing using chef inspec.,"role: chef inspec engineer [SEP] description: automates compliance and infrastructure testing using chef inspec. [SEP] skills: Chef Inspec, Compliance Automation, Infrastructure Testing, Ruby"
chef operations engineer,"Chef, Automation, Infrastructure Management, Ruby",manages infrastructure and automates processes using chef.,"role: chef operations engineer [SEP] description: manages infrastructure and automates processes using chef. [SEP] skills: Chef, Automation, Infrastructure Management, Ruby"
cloud administrator,"Cloud Platforms, System Administration, Virtualization, Networking",manages and maintains cloud infrastructure ensuring availability and performance.,"role: cloud administrator [SEP] description: manages and maintains cloud infrastructure ensuring availability and performance. [SEP] skills: Cloud Platforms, System Administration, Virtualization, Networking"
cloud architect,"Cloud Platforms, System Architecture, Cloud Security, DevOps",designs and oversees the implementation of cloud computing strategies.,"role: cloud architect [SEP] description: designs and oversees the implementation of cloud computing strategies. [SEP] skills: Cloud Platforms, System Architecture, Cloud Security, DevOps"
cloud automation engineer,"Cloud Automation Tools, Scripting, Configuration Management, DevOps",automates cloud infrastructure and deployment processes.,"role: cloud automation engineer [SEP] description: automates cloud infrastructure and deployment processes. [SEP] skills: Cloud Automation Tools, Scripting, Configuration Management, DevOps"
cloud network engineer,"Cloud Networking, Virtual Networks, Network Security, Cloud Platforms",designs and manages cloud network infrastructure.,"role: cloud network engineer [SEP] description: designs and manages cloud network infrastructure. [SEP] skills: Cloud Networking, Virtual Networks, Network Security, Cloud Platforms"
cloud security engineer,"Cloud Security, Security Protocols, Compliance, Cloud Platforms",implements and manages security measures for cloud environments.,"role: cloud security engineer [SEP] description: implements and manages security measures for cloud environments. [SEP] skills: Cloud Security, Security Protocols, Compliance, Cloud Platforms"
cnc programmer,"CNC Machines, CAD/CAM Software, G-Code, Manufacturing Processes",develops programs for cnc machines used in manufacturing.,"role: cnc programmer [SEP] description: develops programs for cnc machines used in manufacturing. [SEP] skills: CNC Machines, CAD/CAM Software, G-Code, Manufacturing Processes"
coder,"Programming Languages, Scripting, Problem Solving, Software Development",writes and tests code for software applications.,"role: coder [SEP] description: writes and tests code for software applications. [SEP] skills: Programming Languages, Scripting, Problem Solving, Software Development"
computer graphics animator,"Animation Software, 3D Modeling, Visual Effects, Graphic Design",creates animations and visual effects for various media.,"role: computer graphics animator [SEP] description: creates animations and visual effects for various media. [SEP] skills: Animation Software, 3D Modeling, Visual Effects, Graphic Design"
computer hardware engineer,"Hardware Design, Circuit Design, Embedded Systems, Testing",designs and develops computer hardware components and systems.,"role: computer hardware engineer [SEP] description: designs and develops computer hardware components and systems. [SEP] skills: Hardware Design, Circuit Design, Embedded Systems, Testing"
computer network architect,"Network Design, Network Protocols, Security, System Architecture",designs and plans computer networks.,"role: computer network architect [SEP] description: designs and plans computer networks. [SEP] skills: Network Design, Network Protocols, Security, System Architecture"
computer programmer,"Programming Languages, Algorithms, Software Development, Debugging",writes and tests code to create software programs.,"role: computer programmer [SEP] description: writes and tests code to create software programs. [SEP] skills: Programming Languages, Algorithms, Software Development, Debugging"
computer research scientist,"Research Methodologies, Data Analysis, Programming, Scientific Writing",conducts research in computer science and develops new technologies.,"role: computer research scientist [SEP] description: conducts research in computer science and develops new technologies. [SEP] skills: Research Methodologies, Data Analysis, Programming, Scientific Writing"
computer systems analyst,"Systems Analysis, Requirements Gathering, Process Improvement, IT Consulting",analyzes computer systems and recommends improvements.,"role: computer systems analyst [SEP] description: analyzes computer systems and recommends improvements. [SEP] skills: Systems Analysis, Requirements Gathering, Process Improvement, IT Consulting"
confluence engineer,"Confluence, Atlassian Suite, Documentation, Collaboration Tools",manages and configures confluence for team collaboration.,"role: confluence engineer [SEP] description: manages and configures confluence for team collaboration. [SEP] skills: Confluence, Atlassian Suite, Documentation, Collaboration Tools"
consul engineer,"Consul, Service Discovery, Infrastructure Automation, Networking",manages and deploys consul for service discovery.,"role: consul engineer [SEP] description: manages and deploys consul for service discovery. [SEP] skills: Consul, Service Discovery, Infrastructure Automation, Networking"
coverage.py engineer,"Coverage.py, Python Testing, Test Coverage Analysis, Software Quality",implements and manages code coverage tools for python projects.,"role: coverage.py engineer [SEP] description: implements and manages code coverage tools for python projects. [SEP] skills: Coverage.py, Python Testing, Test Coverage Analysis, Software Quality"
data analyst,"Data Analysis, SQL, Data Visualization, Statistical Analysis",analyzes data to identify trends and insights.,"role: data analyst [SEP] description: analyzes data to identify trends and insights. [SEP] skills: Data Analysis, SQL, Data Visualization, Statistical Analysis"
data architect,"Data Modeling, Database Design, ETL Processes, Data Warehousing",designs and manages data storage and retrieval systems.,"role: data architect [SEP] description: designs and manages data storage and retrieval systems. [SEP] skills: Data Modeling, Database Design, ETL Processes, Data Warehousing"
data engineer,"ETL Processes, Data Warehousing, Big Data Technologies, Database Management",develops and maintains data pipelines and infrastructure.,"role: data engineer [SEP] description: develops and maintains data pipelines and infrastructure. [SEP] skills: ETL Processes, Data Warehousing, Big Data Technologies, Database Management"
data modeler,"Data Modeling Techniques, Database Design, Data Governance, Data Analysis",creates and maintains data models.,"role: data modeler [SEP] description: creates and maintains data models. [SEP] skills: Data Modeling Techniques, Database Design, Data Governance, Data Analysis"
data scientist,"Machine Learning, Statistical Analysis, Data Mining, Programming",applies machine learning and statistical techniques to analyze data.,"role: data scientist [SEP] description: applies machine learning and statistical techniques to analyze data. [SEP] skills: Machine Learning, Statistical Analysis, Data Mining, Programming"
database administrator,"Database Management, SQL, Performance Tuning, Backup and Recovery",manages and maintains databases.,"role: database administrator [SEP] description: manages and maintains databases. [SEP] skills: Database Management, SQL, Performance Tuning, Backup and Recovery"
datadog engineer,"Datadog, Monitoring, System Performance, Cloud Infrastructure",implements and manages datadog for system monitoring.,"role: datadog engineer [SEP] description: implements and manages datadog for system monitoring. [SEP] skills: Datadog, Monitoring, System Performance, Cloud Infrastructure"
devops architect,"DevOps Practices, Cloud Computing, Automation, System Architecture",designs and implements devops strategies and infrastructure.,"role: devops architect [SEP] description: designs and implements devops strategies and infrastructure. [SEP] skills: DevOps Practices, Cloud Computing, Automation, System Architecture"
devops engineer,"Automation, CI/CD, Cloud Computing, Scripting",automates software development and deployment processes.,"role: devops engineer [SEP] description: automates software development and deployment processes. [SEP] skills: Automation, CI/CD, Cloud Computing, Scripting"
devops manager,"DevOps Practices, Team Leadership, Project Management, Automation",manages devops teams and projects.,"role: devops manager [SEP] description: manages devops teams and projects. [SEP] skills: DevOps Practices, Team Leadership, Project Management, Automation"
devsecops architect,"DevSecOps Practices, Security Automation, Cloud Security, System Architecture",designs and implements devsecops strategies and infrastructure.,"role: devsecops architect [SEP] description: designs and implements devsecops strategies and infrastructure. [SEP] skills: DevSecOps Practices, Security Automation, Cloud Security, System Architecture"
devsecops engineer,"Security Automation, CI/CD, Cloud Security, Scripting",integrates security practices into devops processes.,"role: devsecops engineer [SEP] description: integrates security practices into devops processes. [SEP] skills: Security Automation, CI/CD, Cloud Security, Scripting"
director of engineering,"Leadership, Software Development, Project Management, Team Management",leads and manages engineering teams and projects.,"role: director of engineering [SEP] description: leads and manages engineering teams and projects. [SEP] skills: Leadership, Software Development, Project Management, Team Management"
docker engineer,"Docker, Containerization, Orchestration, DevOps",manages and deploys docker containers.,"role: docker engineer [SEP] description: manages and deploys docker containers. [SEP] skills: Docker, Containerization, Orchestration, DevOps"
elk engineer,"ELK Stack, Log Management, Data Analysis, System Monitoring",manages and configures the elk stack for log analysis and monitoring.,"role: elk engineer [SEP] description: manages and configures the elk stack for log analysis and monitoring. [SEP] skills: ELK Stack, Log Management, Data Analysis, System Monitoring"
embedded software engineer,"Embedded Systems, C/C++, Firmware Development, Hardware Interfaces",develops software for embedded systems.,"role: embedded software engineer [SEP] description: develops software for embedded systems. [SEP] skills: Embedded Systems, C/C++, Firmware Development, Hardware Interfaces"
entry level developer,"Programming Basics, Software Development, Problem Solving, Learning Agility",entry-level position focused on learning and developing software skills.,"role: entry level developer [SEP] description: entry-level position focused on learning and developing software skills. [SEP] skills: Programming Basics, Software Development, Problem Solving, Learning Agility"
entry level network engineer,"Networking Basics, Troubleshooting, System Administration, Learning Agility",entry-level position focused on learning and assisting with network operations.,"role: entry level network engineer [SEP] description: entry-level position focused on learning and assisting with network operations. [SEP] skills: Networking Basics, Troubleshooting, System Administration, Learning Agility"
entry level programmer,"Programming Basics, Software Development, Problem Solving, Learning Agility",entry-level position focused on learning and developing software skills.,"role: entry level programmer [SEP] description: entry-level position focused on learning and developing software skills. [SEP] skills: Programming Basics, Software Development, Problem Solving, Learning Agility"
entry level web developer,"HTML, CSS, JavaScript, Basic Web Development, Learning Agility",entry-level position focused on learning and developing web development skills.,"role: entry level web developer [SEP] description: entry-level position focused on learning and developing web development skills. [SEP] skills: HTML, CSS, JavaScript, Basic Web Development, Learning Agility"
envoy engineer,"Envoy Proxy, Service Mesh, Load Balancing, Networking",configures and manages envoy proxy for service mesh architectures.,"role: envoy engineer [SEP] description: configures and manages envoy proxy for service mesh architectures. [SEP] skills: Envoy Proxy, Service Mesh, Load Balancing, Networking"
falco engineer,"Falco, Kubernetes Security, Cloud Security, System Monitoring",implements and manages falco for runtime security monitoring.,"role: falco engineer [SEP] description: implements and manages falco for runtime security monitoring. [SEP] skills: Falco, Kubernetes Security, Cloud Security, System Monitoring"
fluentd engineer,"Fluentd, Log Aggregation, Data Collection, System Monitoring",configures and manages fluentd for log aggregation and analysis.,"role: fluentd engineer [SEP] description: configures and manages fluentd for log aggregation and analysis. [SEP] skills: Fluentd, Log Aggregation, Data Collection, System Monitoring"
fortify engineer,"Fortify, Static Code Analysis, Application Security, Secure Coding",implements and manages fortify for static code analysis and application security.,"role: fortify engineer [SEP] description: implements and manages fortify for static code analysis and application security. [SEP] skills: Fortify, Static Code Analysis, Application Security, Secure Coding"
frameworks specialist,"Software Frameworks, Programming Languages, Problem Solving, System Design",specializes in designing and implementing software frameworks.,"role: frameworks specialist [SEP] description: specializes in designing and implementing software frameworks. [SEP] skills: Software Frameworks, Programming Languages, Problem Solving, System Design"
front end developer,"HTML, CSS, JavaScript, UI/UX Design, Responsive Design",develops the user interface and front-end components of web applications.,"role: front end developer [SEP] description: develops the user interface and front-end components of web applications. [SEP] skills: HTML, CSS, JavaScript, UI/UX Design, Responsive Design"
full stack developer,"HTML, CSS, JavaScript, Back-End Technologies, Database Management",develops both the front-end and back-end components of web applications.,"role: full stack developer [SEP] description: develops both the front-end and back-end components of web applications. [SEP] skills: HTML, CSS, JavaScript, Back-End Technologies, Database Management"
full stack java developer/programmer/engineer,"Java, Spring, Hibernate, HTML, CSS, JavaScript",develops full-stack applications using java technologies.,"role: full stack java developer/programmer/engineer [SEP] description: develops full-stack applications using java technologies. [SEP] skills: Java, Spring, Hibernate, HTML, CSS, JavaScript"
full stack python developer/programmer/engineer,"Python, Django, Flask, HTML, CSS, JavaScript",develops full-stack applications using python technologies.,"role: full stack python developer/programmer/engineer [SEP] description: develops full-stack applications using python technologies. [SEP] skills: Python, Django, Flask, HTML, CSS, JavaScript"
game developer,"C++, C#, Game Engines, 3D Modeling, Game Design",develops video games for various platforms.,"role: game developer [SEP] description: develops video games for various platforms. [SEP] skills: C++, C#, Game Engines, 3D Modeling, Game Design"
gcp devops engineer,"Google Cloud Platform, DevOps Practices, CI/CD Pipelines, Automation",implements devops practices on google cloud platform automating processes and ensuring system reliability.,"role: gcp devops engineer [SEP] description: implements devops practices on google cloud platform automating processes and ensuring system reliability. [SEP] skills: Google Cloud Platform, DevOps Practices, CI/CD Pipelines, Automation"
gerrit administrator,"Gerrit, Code Review, Git, Version Control",administers and manages gerrit for code review processes.,"role: gerrit administrator [SEP] description: administers and manages gerrit for code review processes. [SEP] skills: Gerrit, Code Review, Git, Version Control"
git engineer,"Git, Version Control, Branching Strategies, Collaboration",manages and configures git for efficient version control.,"role: git engineer [SEP] description: manages and configures git for efficient version control. [SEP] skills: Git, Version Control, Branching Strategies, Collaboration"
github engineer,"GitHub, Git, Collaboration Tools, CI/CD Integration",manages and configures github for efficient collaboration and ci/cd.,"role: github engineer [SEP] description: manages and configures github for efficient collaboration and ci/cd. [SEP] skills: GitHub, Git, Collaboration Tools, CI/CD Integration"
gitlab engineer,"GitLab, Git, CI/CD Pipelines, DevOps Practices",manages and configures gitlab for efficient devops workflows.,"role: gitlab engineer [SEP] description: manages and configures gitlab for efficient devops workflows. [SEP] skills: GitLab, Git, CI/CD Pipelines, DevOps Practices"
gradle engineer,"Gradle, Build Automation, Java, Software Configuration Management",configures and manages gradle for build automation.,"role: gradle engineer [SEP] description: configures and manages gradle for build automation. [SEP] skills: Gradle, Build Automation, Java, Software Configuration Management"
grafana engineer,"Grafana, Data Visualization, Monitoring, System Performance",configures and manages grafana for data visualization and monitoring.,"role: grafana engineer [SEP] description: configures and manages grafana for data visualization and monitoring. [SEP] skills: Grafana, Data Visualization, Monitoring, System Performance"
groovy engineer,"Groovy, Scripting, Automation, Software Development",develops automation scripts and applications using groovy.,"role: groovy engineer [SEP] description: develops automation scripts and applications using groovy. [SEP] skills: Groovy, Scripting, Automation, Software Development"
information architect,"Information Architecture, User Experience Design, Content Strategy, Taxonomy",designs information structures to enhance usability and findability.,"role: information architect [SEP] description: designs information structures to enhance usability and findability. [SEP] skills: Information Architecture, User Experience Design, Content Strategy, Taxonomy"
information security analyst,"Security Protocols, Threat Analysis, Compliance, Incident Response",protects computer systems and networks from security threats.,"role: information security analyst [SEP] description: protects computer systems and networks from security threats. [SEP] skills: Security Protocols, Threat Analysis, Compliance, Incident Response"
interaction designer,"Interaction Design, User Research, Prototyping, Usability Testing",designs interactive user interfaces and experiences.,"role: interaction designer [SEP] description: designs interactive user interfaces and experiences. [SEP] skills: Interaction Design, User Research, Prototyping, Usability Testing"
ios developer,"Swift, Objective-C, iOS SDK, Mobile App Development, UI/UX Design",develops mobile applications for ios devices integrating features and ensuring user experience.,"role: ios developer [SEP] description: develops mobile applications for ios devices integrating features and ensuring user experience. [SEP] skills: Swift, Objective-C, iOS SDK, Mobile App Development, UI/UX Design"
istio engineer,"Istio, Service Mesh, Traffic Management, Security",configures and manages istio for service mesh architectures.,"role: istio engineer [SEP] description: configures and manages istio for service mesh architectures. [SEP] skills: Istio, Service Mesh, Traffic Management, Security"
it manager,"IT Management, Team Leadership, Project Management, Budgeting",manages it teams and projects ensuring efficient operations.,"role: it manager [SEP] description: manages it teams and projects ensuring efficient operations. [SEP] skills: IT Management, Team Leadership, Project Management, Budgeting"
jacoco engineer,"JaCoCo, Code Coverage, Java Testing, Software Quality",implements and manages code coverage tools for java projects.,"role: jacoco engineer [SEP] description: implements and manages code coverage tools for java projects. [SEP] skills: JaCoCo, Code Coverage, Java Testing, Software Quality"
java developer,"Java, Spring, Hibernate, Software Development, Object-Oriented Programming",develops applications using java and related technologies focusing on functionality and performance.,"role: java developer [SEP] description: develops applications using java and related technologies focusing on functionality and performance. [SEP] skills: Java, Spring, Hibernate, Software Development, Object-Oriented Programming"
jenkins engineer,"Jenkins, CI/CD Pipelines, Build Automation, DevOps Practices",configures and manages jenkins for continuous integration and delivery.,"role: jenkins engineer [SEP] description: configures and manages jenkins for continuous integration and delivery. [SEP] skills: Jenkins, CI/CD Pipelines, Build Automation, DevOps Practices"
jira administrator,"Jira, Atlassian Suite, Workflow Configuration, Project Management",administers and configures jira for project management and issue tracking.,"role: jira administrator [SEP] description: administers and configures jira for project management and issue tracking. [SEP] skills: Jira, Atlassian Suite, Workflow Configuration, Project Management"
junior front end developer,"HTML, CSS, JavaScript, Basic Web Development, Learning Agility",entry-level position focused on learning and developing front-end web development skills.,"role: junior front end developer [SEP] description: entry-level position focused on learning and developing front-end web development skills. [SEP] skills: HTML, CSS, JavaScript, Basic Web Development, Learning Agility"
junior ios developer,"Swift, Objective-C, iOS SDK, Basic Mobile App Development, Learning Agility",entry-level position focused on learning and developing ios app development skills.,"role: junior ios developer [SEP] description: entry-level position focused on learning and developing ios app development skills. [SEP] skills: Swift, Objective-C, iOS SDK, Basic Mobile App Development, Learning Agility"
junit engineer,"JUnit, Java Testing, Test Automation, Software Quality",implements and manages junit for java testing and test automation.,"role: junit engineer [SEP] description: implements and manages junit for java testing and test automation. [SEP] skills: JUnit, Java Testing, Test Automation, Software Quality"
kubernetes operations engineer,"Kubernetes, Container Orchestration, Cloud Computing, DevOps Practices",manages and operates kubernetes clusters ensuring system reliability and scalability.,"role: kubernetes operations engineer [SEP] description: manages and operates kubernetes clusters ensuring system reliability and scalability. [SEP] skills: Kubernetes, Container Orchestration, Cloud Computing, DevOps Practices"
machine learning architect,"Machine Learning Algorithms, System Architecture, Cloud Computing, Data Modeling",designs and implements scalable machine learning infrastructure and solutions.,"role: machine learning architect [SEP] description: designs and implements scalable machine learning infrastructure and solutions. [SEP] skills: Machine Learning Algorithms, System Architecture, Cloud Computing, Data Modeling"
machine learning engineer,"Machine Learning Algorithms, Python, Data Analysis, Model Deployment",develops and deploys machine learning models for various applications.,"role: machine learning engineer [SEP] description: develops and deploys machine learning models for various applications. [SEP] skills: Machine Learning Algorithms, Python, Data Analysis, Model Deployment"
maven engineer,"Maven, Build Automation, Java, Software Configuration Management",configures and manages maven for build automation in java projects.,"role: maven engineer [SEP] description: configures and manages maven for build automation in java projects. [SEP] skills: Maven, Build Automation, Java, Software Configuration Management"
mobile app developer,"Mobile App Development, iOS/Android SDKs, UI/UX Design, Programming Languages",develops mobile applications for ios and android platforms.,"role: mobile app developer [SEP] description: develops mobile applications for ios and android platforms. [SEP] skills: Mobile App Development, iOS/Android SDKs, UI/UX Design, Programming Languages"
mulesoft developer,"MuleSoft Anypoint Platform, API Integration, Java, Integration Patterns",develops and integrates applications using the mulesoft anypoint platform.,"role: mulesoft developer [SEP] description: develops and integrates applications using the mulesoft anypoint platform. [SEP] skills: MuleSoft Anypoint Platform, API Integration, Java, Integration Patterns"
nagios engineer,"Nagios, System Monitoring, Linux, Networking",configures and manages nagios for system and network monitoring.,"role: nagios engineer [SEP] description: configures and manages nagios for system and network monitoring. [SEP] skills: Nagios, System Monitoring, Linux, Networking"
network and systems administrator,"Networking, System Administration, Linux/Windows Servers, Troubleshooting",manages and maintains network and server infrastructure.,"role: network and systems administrator [SEP] description: manages and maintains network and server infrastructure. [SEP] skills: Networking, System Administration, Linux/Windows Servers, Troubleshooting"
network engineer,"Networking Protocols, Cisco/Juniper Devices, Network Security, Troubleshooting",designs implements and manages network infrastructure.,"role: network engineer [SEP] description: designs implements and manages network infrastructure. [SEP] skills: Networking Protocols, Cisco/Juniper Devices, Network Security, Troubleshooting"
new relic engineer,"New Relic, Application Performance Monitoring, Troubleshooting, Cloud Computing",configures and manages new relic for application performance monitoring.,"role: new relic engineer [SEP] description: configures and manages new relic for application performance monitoring. [SEP] skills: New Relic, Application Performance Monitoring, Troubleshooting, Cloud Computing"
nexus engineer,"Nexus Repository Manager, Artifact Management, DevOps Practices",manages and configures nexus repository manager for artifact storage and retrieval.,"role: nexus engineer [SEP] description: manages and configures nexus repository manager for artifact storage and retrieval. [SEP] skills: Nexus Repository Manager, Artifact Management, DevOps Practices"
nomad engineer,"Nomad, Container Orchestration, HashiCorp Tools, Infrastructure Automation",configures and manages nomad for container orchestration and infrastructure automation.,"role: nomad engineer [SEP] description: configures and manages nomad for container orchestration and infrastructure automation. [SEP] skills: Nomad, Container Orchestration, HashiCorp Tools, Infrastructure Automation"
notary engineer,"Notary, Container Security, Docker, Cryptography",implements and manages notary for ensuring container image security.,"role: notary engineer [SEP] description: implements and manages notary for ensuring container image security. [SEP] skills: Notary, Container Security, Docker, Cryptography"
octopus deploy engineer,"Octopus Deploy, Deployment Automation, .NET, PowerShell",configures and manages octopus deploy for automating application deployments.,"role: octopus deploy engineer [SEP] description: configures and manages octopus deploy for automating application deployments. [SEP] skills: Octopus Deploy, Deployment Automation, .NET, PowerShell"
openshift engineer,"OpenShift, Kubernetes, Containerization, DevOps Practices",manages and configures openshift for container orchestration and application deployment.,"role: openshift engineer [SEP] description: manages and configures openshift for container orchestration and application deployment. [SEP] skills: OpenShift, Kubernetes, Containerization, DevOps Practices"
openstack engineer,"OpenStack, Cloud Computing, Virtualization, System Administration",implements and manages openstack cloud infrastructure.,"role: openstack engineer [SEP] description: implements and manages openstack cloud infrastructure. [SEP] skills: OpenStack, Cloud Computing, Virtualization, System Administration"
operations engineer,"System Administration, Linux/Windows Servers, Troubleshooting, Scripting",manages and maintains systems and infrastructure ensuring reliable operation.,"role: operations engineer [SEP] description: manages and maintains systems and infrastructure ensuring reliable operation. [SEP] skills: System Administration, Linux/Windows Servers, Troubleshooting, Scripting"
